job_id,product_type,quantity,paper_gsm,color_pages,trim_area_sqin,ink_coverage_pct,coating,quote_hour,total_cost_usd
JOB-0030,Banner,76,150,1,93.5,31.04,1,12,573.66
JOB-0031,Banner,1704,250,1,1728.0,32.69,0,11,2138.88
JOB-0032,Empaque,562,170,8,864.0,23.77,0,16,1190.25
JOB-0033,Flyer,1904,170,16,1728.0,81.7,1,17,2628.81
JOB-0034,Flyer,1336,150,16,432.0,46.19,0,13,1559.45
JOB-0035,Flyer,1193,250,8,93.5,74.22,1,8,1482.62
JOB-0036,Poster,451,150,1,93.5,64.29,0,13,685.45
JOB-0037,Poster,1793,250,16,216.0,32.47,1,17,1823.95
JOB-0038,Flyer,456,250,4,864.0,31.41,0,18,1167.34
JOB-0039,Poster,1073,300,4,93.5,72.78,1,12,1440.08
JOB-0040,Banner,2099,250,8,1728.0,37.21,0,9,2427.23
JOB-0041,Flyer,2305,170,12,187.0,79.36,1,14,2155.26
JOB-0042,Banner,2474,250,16,216.0,29.1,1,17,2224.88
JOB-0043,Banner,2398,300,4,187.0,64.05,0,18,2070.87
JOB-0044,Flyer,1412,170,4,216.0,72.94,0,8,1421.86
JOB-0045,Banner,541,150,8,216.0,35.29,0,11,898.13
JOB-0046,Banner,2106,300,1,93.5,37.95,1,13,1792.29
JOB-0047,Flyer,2014,150,1,432.0,82.69,1,9,1905.01
JOB-0048,Flyer,2477,200,8,864.0,37.2,1,17,2338.95
JOB-0049,Banner,1645,170,1,1728.0,47.95,0,9,2060.67
JOB-0050,Poster,397,150,1,187.0,48.11,1,15,712.53
JOB-0051,Poster,1282,250,8,1728.0,36.45,0,18,2109.62
JOB-0052,Poster,1148,150,16,1728.0,70.43,1,15,2166.73
JOB-0053,Banner,2116,250,4,1728.0,70.17,0,16,2539.73
JOB-0054,Banner,1012,250,2,216.0,44.59,1,10,1151.51
JOB-0055,Banner,855,150,2,1728.0,74.28,1,17,1711.62
JOB-0056,Banner,246,150,8,432.0,33.85,1,12,900.57
JOB-0057,Flyer,2097,250,4,93.5,20.28,0,8,1668.64
JOB-0058,Lookbook,1901,200,1,187.0,57.13,0,12,1511.21
JOB-0059,Poster,151,150,4,864.0,84.62,1,11,1106.56
JOB-0060,Poster,1113,300,2,93.5,22.51,0,13,1121.96
JOB-0061,Banner,1225,170,8,216.0,33.52,0,10,1309.16
JOB-0062,Flyer,1200,150,16,864.0,53.73,1,13,1756.85
JOB-0063,Lookbook,2302,300,16,93.5,72.65,1,12,2282.58
JOB-0064,Banner,419,150,4,216.0,25.79,1,11,805.34
JOB-0065,Lookbook,800,200,1,187.0,45.69,1,15,981.48
JOB-0066,Lookbook,493,300,2,432.0,68.56,0,11,1046.63
JOB-0067,Lookbook,648,200,1,187.0,44.15,0,16,854.75
JOB-0068,Flyer,2273,200,16,1728.0,32.27,1,10,2738.69
JOB-0069,Poster,2355,170,12,93.5,32.71,0,17,1834.92
JOB-0070,Flyer,159,150,12,1728.0,46.65,0,12,1318.67
JOB-0071,Poster,1599,200,1,864.0,51.16,0,8,1725.12
JOB-0072,Flyer,620,300,1,1728.0,76.02,1,9,1749.9
JOB-0073,Empaque,521,150,12,1728.0,61.75,1,16,1686.96
JOB-0074,Poster,765,300,4,187.0,64.88,0,17,1082.83
JOB-0075,Poster,526,200,8,1728.0,83.89,0,10,1662.6
JOB-0076,Flyer,1251,200,2,432.0,46.77,0,14,1322.96
JOB-0077,Flyer,2490,150,2,1728.0,46.22,1,14,2596.92
JOB-0078,Banner,1487,250,8,1728.0,80.02,0,9,2232.58
JOB-0079,Lookbook,1822,150,12,432.0,35.98,1,12,1863.59
JOB-0080,Banner,1259,170,1,216.0,67.44,0,15,1219.98
JOB-0081,Banner,84,250,12,93.5,69.05,0,18,817.94
JOB-0082,Flyer,256,150,1,93.5,26.36,0,17,560.26
JOB-0083,Banner,709,200,2,216.0,50.44,1,9,1021.72
JOB-0084,Poster,647,200,16,864.0,33.04,0,10,1357.97
JOB-0085,Poster,2110,150,16,432.0,32.05,0,12,1937.68
JOB-0086,Poster,2117,170,16,216.0,50.15,0,9,1992.66
JOB-0087,Banner,2143,170,1,187.0,38.81,0,14,1695.38
JOB-0088,Flyer,1612,250,12,432.0,71.74,0,8,1801.23
JOB-0089,Poster,1413,300,16,432.0,78.99,1,9,1944.48
JOB-0090,Lookbook,1641,300,16,1728.0,72.18,0,8,2530.45
JOB-0091,Poster,1047,150,1,864.0,37.29,0,11,1245.61
JOB-0092,Banner,1692,150,8,432.0,37.82,0,16,1586.64
JOB-0093,Flyer,1997,150,16,1728.0,36.56,1,9,2507.97
JOB-0094,Flyer,1919,200,12,216.0,28.78,0,18,1772.88
JOB-0095,Flyer,1554,150,1,1728.0,81.35,0,10,2115.86
JOB-0096,Lookbook,192,170,12,216.0,46.13,0,8,778.6
JOB-0097,Flyer,1826,300,1,93.5,34.6,0,11,1547.04
JOB-0098,Poster,948,300,2,216.0,75.03,0,16,1296.81
JOB-0099,Poster,1872,300,8,93.5,45.95,1,9,1785.54
JOB-0100,Empaque,1372,170,2,93.5,22.28,0,8,1160.76
JOB-0101,Empaque,2209,250,8,1728.0,30.53,0,17,2506.56
JOB-0102,Banner,879,250,1,864.0,61.55,0,14,1344.72
JOB-0103,Flyer,2332,150,4,187.0,70.89,0,11,1827.41
JOB-0104,Empaque,2119,200,8,1728.0,33.71,1,16,2541.69
JOB-0105,Banner,861,200,8,93.5,79.63,1,17,1238.5
JOB-0106,Banner,1232,170,1,187.0,75.31,1,11,1382.2
JOB-0107,Flyer,1352,250,1,864.0,75.14,0,14,1666.14
JOB-0108,Flyer,1933,250,1,187.0,34.8,1,8,1676.9
JOB-0109,Poster,1739,200,2,864.0,23.28,0,11,1800.19
JOB-0110,Empaque,2138,250,4,1728.0,76.38,1,14,2564.33
JOB-0111,Flyer,956,250,1,93.5,39.88,1,10,1024.49
JOB-0112,Poster,1287,200,2,93.5,60.23,1,18,1365.47
JOB-0113,Flyer,1106,170,1,1728.0,69.4,1,18,1839.57
JOB-0114,Lookbook,2279,250,1,432.0,28.34,0,10,1869.37
JOB-0115,Poster,797,250,8,432.0,70.75,0,12,1288.41
JOB-0116,Empaque,1489,300,12,216.0,81.0,1,10,1843.03
JOB-0117,Banner,344,150,1,216.0,67.34,0,13,681.85
JOB-0118,Banner,2134,200,12,864.0,48.68,1,9,2235.73
JOB-0119,Flyer,991,300,4,432.0,76.98,1,12,1511.42
JOB-0120,Lookbook,884,200,1,93.5,54.28,1,14,1010.19
JOB-0121,Lookbook,1478,300,1,432.0,68.41,0,14,1582.81
JOB-0122,Lookbook,1272,150,1,864.0,73.33,1,14,1576.51
JOB-0123,Poster,2128,150,1,93.5,68.71,0,10,1595.16
JOB-0124,Flyer,1352,250,1,216.0,38.71,0,16,1285.27
JOB-0125,Poster,1317,170,2,864.0,27.66,0,15,1452.47
JOB-0126,Lookbook,307,200,12,432.0,35.49,1,16,1000.73
JOB-0127,Flyer,103,200,1,93.5,52.69,1,13,606.46
JOB-0128,Poster,1026,200,12,93.5,52.84,1,17,1323.94
JOB-0129,Poster,2496,300,1,432.0,57.87,1,12,2179.5
JOB-0130,Lookbook,2298,150,1,216.0,45.68,0,16,1758.95
JOB-0131,Poster,1591,250,8,1728.0,71.15,0,10,2355.19
JOB-0132,Empaque,1596,300,12,432.0,79.35,1,10,1956.72
JOB-0133,Lookbook,1009,250,4,1728.0,36.04,0,13,1814.91
JOB-0134,Flyer,485,170,1,187.0,67.87,0,14,801.92
JOB-0135,Lookbook,70,150,1,216.0,64.07,1,16,644.89
JOB-0136,Poster,880,250,2,93.5,54.0,1,11,1190.13
JOB-0137,Empaque,825,200,2,432.0,32.25,0,17,1065.93
JOB-0138,Lookbook,519,150,16,187.0,71.69,1,11,1082.45
JOB-0139,Banner,685,170,1,216.0,82.44,0,13,998.2
JOB-0140,Poster,110,300,1,216.0,66.92,0,18,817.05
JOB-0141,Lookbook,1540,170,16,187.0,79.66,0,13,1689.28
JOB-0142,Lookbook,2323,150,1,93.5,83.97,1,15,1920.54
JOB-0143,Empaque,1743,250,1,432.0,42.88,0,17,1592.93
JOB-0144,Lookbook,1148,150,2,1728.0,61.48,0,18,1737.46
JOB-0145,Flyer,1080,300,2,187.0,50.81,1,13,1327.58
JOB-0146,Flyer,803,300,4,216.0,84.13,1,12,1246.8
JOB-0147,Flyer,399,300,16,187.0,26.1,1,10,1111.83
JOB-0148,Lookbook,1516,300,16,864.0,46.8,1,13,2139.41
JOB-0149,Flyer,1438,170,1,216.0,76.91,1,18,1364.93
JOB-0150,Poster,67,170,16,1728.0,38.46,1,13,1422.2
JOB-0151,Banner,1068,170,8,187.0,71.21,1,11,1293.05
JOB-0152,Empaque,731,200,1,93.5,44.88,1,9,935.59
JOB-0153,Poster,467,300,16,432.0,83.7,0,12,1357.8
JOB-0154,Lookbook,1773,250,1,432.0,77.43,0,10,1802.89
JOB-0155,Poster,1338,250,4,1728.0,39.59,1,18,2095.57
JOB-0156,Banner,1603,300,12,1728.0,70.06,0,13,2449.0
JOB-0157,Flyer,1798,250,1,1728.0,41.9,1,9,2265.97
JOB-0158,Lookbook,2456,170,1,432.0,59.41,0,8,1988.03
JOB-0159,Banner,2017,200,2,216.0,62.8,1,17,1735.95
JOB-0160,Banner,1570,200,16,216.0,73.92,0,18,1780.97
JOB-0161,Poster,2204,150,1,93.5,21.59,1,16,1573.39
JOB-0162,Empaque,1220,250,8,216.0,34.31,0,9,1376.47
JOB-0163,Poster,2463,250,2,216.0,66.27,0,9,2065.92
JOB-0164,Poster,1916,250,1,93.5,56.63,0,10,1624.98
JOB-0165,Lookbook,1645,200,8,187.0,52.21,1,16,1622.94
JOB-0166,Flyer,2264,250,12,432.0,23.59,0,16,2063.28
JOB-0167,Banner,1312,300,4,216.0,42.64,1,17,1352.72
JOB-0168,Banner,1816,200,1,1728.0,76.23,0,9,2263.37
JOB-0169,Flyer,747,200,1,216.0,22.01,0,9,854.84
JOB-0170,Empaque,2410,150,2,1728.0,45.77,1,17,2510.92
JOB-0171,Flyer,1577,250,4,432.0,81.43,0,18,1734.0
JOB-0172,Lookbook,1966,300,4,93.5,23.31,0,15,1649.69
JOB-0173,Poster,1179,250,1,187.0,68.73,1,9,1307.46
JOB-0174,Empaque,2174,300,4,864.0,36.74,1,8,2193.14
JOB-0175,Poster,231,300,1,432.0,76.33,1,8,1020.55
JOB-0176,Poster,329,250,8,187.0,68.49,0,15,951.14
JOB-0177,Flyer,1292,200,12,432.0,77.57,1,17,1696.71
JOB-0178,Empaque,1845,150,8,1728.0,34.04,0,14,2248.99
JOB-0179,Empaque,2033,150,1,216.0,54.53,1,10,1632.8
JOB-0180,Banner,1128,170,16,93.5,70.65,1,16,1480.76
JOB-0181,Empaque,1642,200,1,187.0,35.97,0,8,1436.92
JOB-0182,Empaque,1405,250,16,1728.0,35.0,0,17,2153.06
JOB-0183,Lookbook,2406,200,1,864.0,21.77,0,17,2052.61
JOB-0184,Flyer,1653,150,4,1728.0,82.3,0,15,2152.95
JOB-0185,Banner,1071,170,1,1728.0,66.15,0,17,1761.21
JOB-0186,Banner,2427,300,1,93.5,61.31,1,14,1999.98
JOB-0187,Flyer,312,300,8,187.0,68.36,0,13,986.53
JOB-0188,Poster,2463,170,8,93.5,54.55,0,11,2022.06
JOB-0189,Banner,427,300,1,93.5,50.95,1,18,853.56
JOB-0190,Flyer,756,250,16,1728.0,49.22,0,15,1863.52
JOB-0191,Empaque,2063,300,1,1728.0,61.63,1,10,2469.78
JOB-0192,Poster,1848,300,1,93.5,33.1,1,18,1705.43
JOB-0193,Poster,2428,250,1,864.0,77.72,1,8,2334.89
JOB-0194,Banner,1888,170,2,432.0,72.76,0,14,1718.62
JOB-0195,Poster,1611,250,1,93.5,42.72,0,10,1388.34
JOB-0196,Poster,899,170,2,1728.0,57.61,1,15,1701.64
JOB-0197,Lookbook,61,170,1,1728.0,29.17,1,12,1163.76
JOB-0198,Empaque,353,250,1,432.0,83.2,0,12,1084.66
JOB-0199,Poster,779,200,1,864.0,78.69,1,15,1452.74
JOB-0200,Flyer,150,200,8,216.0,79.92,1,16,870.35
JOB-0201,Banner,1295,170,12,864.0,41.59,0,12,1685.16
JOB-0202,Empaque,1955,200,1,216.0,30.99,1,18,1586.72
JOB-0203,Lookbook,2410,150,1,1728.0,33.77,0,13,2314.44
JOB-0204,Poster,1250,250,12,93.5,25.85,1,9,1463.02
JOB-0205,Poster,2194,200,8,187.0,27.81,1,8,1903.77
JOB-0206,Poster,2465,300,12,1728.0,24.63,1,10,2872.8
JOB-0207,Poster,2157,200,16,187.0,84.34,0,15,2067.61
JOB-0208,Banner,1189,200,12,187.0,24.81,0,13,1291.0
JOB-0209,Poster,847,150,16,864.0,28.62,1,11,1519.64
JOB-0210,Lookbook,2446,150,2,187.0,73.77,1,13,1988.07
JOB-0211,Banner,642,170,2,432.0,57.72,1,17,1039.84
JOB-0212,Lookbook,1058,170,1,187.0,70.34,0,14,1066.79
JOB-0213,Poster,231,170,1,187.0,61.01,0,8,654.6
JOB-0214,Banner,1995,170,8,1728.0,77.34,1,8,2557.18
JOB-0215,Banner,1642,250,8,187.0,61.5,0,13,1596.09
JOB-0216,Banner,257,150,12,93.5,53.94,1,12,873.56
JOB-0217,Poster,593,170,1,864.0,66.33,0,17,1165.48
JOB-0218,Poster,1411,150,2,1728.0,49.08,0,14,1936.76
JOB-0219,Empaque,1374,170,1,93.5,42.49,0,16,1220.01
JOB-0220,Flyer,2015,250,16,864.0,50.4,1,14,2284.5
JOB-0221,Flyer,702,150,1,432.0,31.03,1,11,896.52
JOB-0222,Lookbook,2316,170,1,864.0,71.78,0,15,2093.29
JOB-0223,Banner,1139,150,4,93.5,36.95,0,14,1104.91
JOB-0224,Empaque,2066,300,16,1728.0,29.98,1,15,2676.23
JOB-0225,Flyer,634,250,16,432.0,36.01,0,10,1230.12
JOB-0226,Empaque,140,170,1,1728.0,74.73,1,15,1282.43
JOB-0227,Poster,184,150,1,216.0,41.46,0,11,626.76
JOB-0228,Lookbook,963,150,1,1728.0,64.59,0,16,1724.02
JOB-0229,Lookbook,2386,200,1,432.0,75.67,0,16,2051.85
JOB-0230,Poster,169,250,4,93.5,25.05,1,14,720.82
JOB-0231,Poster,954,200,1,1728.0,69.73,0,18,1782.44
JOB-0232,Flyer,317,300,1,864.0,40.0,1,13,1124.57
JOB-0233,Empaque,2333,170,4,187.0,34.08,0,8,1769.56
JOB-0234,Lookbook,1705,170,1,432.0,64.78,0,14,1558.35
JOB-0235,Empaque,1919,200,1,216.0,79.14,1,16,1861.36
JOB-0236,Banner,1798,170,1,432.0,39.18,1,9,1638.45
JOB-0237,Flyer,1660,300,1,1728.0,56.97,0,9,2200.69
JOB-0238,Banner,1946,150,2,1728.0,38.84,0,11,2186.71
JOB-0239,Poster,69,200,12,187.0,56.03,0,17,737.13
JOB-0240,Poster,2171,200,12,1728.0,60.42,1,13,2726.9
JOB-0241,Banner,1863,150,1,216.0,59.67,0,18,1506.68
JOB-0242,Banner,1862,200,1,864.0,60.53,0,17,1887.07
JOB-0243,Poster,1014,200,1,864.0,28.78,0,14,1345.37
JOB-0244,Lookbook,2012,170,8,216.0,65.08,1,15,1865.73
JOB-0245,Lookbook,985,150,8,216.0,63.86,0,11,1193.1
JOB-0246,Empaque,170,150,12,216.0,64.37,1,8,882.32
JOB-0247,Lookbook,2275,150,1,1728.0,24.81,0,12,2284.45
JOB-0248,Flyer,624,200,1,216.0,49.04,0,14,852.52
JOB-0249,Flyer,299,150,1,187.0,46.59,0,10,601.04
JOB-0250,Flyer,1574,300,1,216.0,25.64,0,10,1503.05
JOB-0251,Lookbook,622,170,1,187.0,34.45,0,8,777.98
JOB-0252,Empaque,2153,250,12,216.0,48.66,1,16,2007.41
JOB-0253,Flyer,1137,250,1,93.5,68.29,0,17,1203.53
JOB-0254,Poster,61,200,12,93.5,35.41,1,17,786.21
JOB-0255,Poster,2382,300,4,864.0,73.93,0,12,2389.94
JOB-0256,Banner,1311,150,4,93.5,55.48,0,14,1243.14
JOB-0257,Banner,694,170,2,432.0,69.43,0,18,1042.66
JOB-0258,Poster,1710,170,12,864.0,50.72,0,14,1938.99
JOB-0259,Poster,1350,150,1,864.0,52.45,1,11,1541.65
JOB-0260,Lookbook,122,170,1,216.0,60.28,0,11,589.48
JOB-0261,Poster,1911,170,2,187.0,80.32,1,15,1761.81
JOB-0262,Banner,1033,250,2,1728.0,51.97,1,12,1925.64
JOB-0263,Flyer,1765,170,4,1728.0,54.36,1,17,2202.69
JOB-0264,Poster,2245,300,8,432.0,59.13,0,17,2095.96
JOB-0265,Empaque,1546,250,4,93.5,67.94,0,8,1505.85
JOB-0266,Poster,1696,300,1,93.5,24.67,1,15,1595.04
JOB-0267,Flyer,674,150,1,187.0,53.52,0,12,767.6
JOB-0268,Poster,632,300,12,93.5,51.3,0,13,1161.19
JOB-0269,Poster,1067,250,1,1728.0,79.91,1,10,1918.04
JOB-0270,Poster,2140,300,4,187.0,52.08,1,12,1917.75
JOB-0271,Poster,1334,170,4,187.0,50.44,1,11,1331.0
JOB-0272,Poster,903,300,12,1728.0,82.54,0,8,2063.22
JOB-0273,Poster,1960,200,8,864.0,49.29,1,16,2056.46
JOB-0274,Lookbook,2141,150,2,187.0,31.76,0,9,1605.15
JOB-0275,Banner,2262,200,1,216.0,34.1,1,12,1776.45
JOB-0276,Flyer,782,150,1,432.0,26.19,1,10,931.81
JOB-0277,Flyer,1789,300,2,432.0,20.04,1,9,1751.07
JOB-0278,Lookbook,1496,170,1,1728.0,48.08,1,12,2053.13
JOB-0279,Empaque,1150,170,8,1728.0,70.0,0,18,1993.77
JOB-0280,Empaque,1022,200,1,1728.0,67.68,0,18,1724.56
JOB-0281,Poster,330,200,8,93.5,22.09,0,12,718.2
JOB-0282,Poster,723,150,12,187.0,57.05,0,13,1112.54
JOB-0283,Poster,1397,300,16,432.0,30.03,1,18,1744.17
JOB-0284,Poster,2222,300,1,93.5,81.17,0,10,1918.38
JOB-0285,Lookbook,2173,250,12,216.0,30.88,1,18,1991.81
JOB-0286,Flyer,509,250,1,93.5,60.73,0,9,932.15
JOB-0287,Poster,1715,200,1,1728.0,41.21,0,10,2167.59
JOB-0288,Flyer,257,200,1,93.5,61.7,0,11,592.19
JOB-0289,Lookbook,1704,200,1,93.5,46.8,1,8,1583.89
JOB-0290,Poster,888,150,1,187.0,69.38,1,16,1045.28
JOB-0291,Banner,1152,150,1,93.5,34.99,1,17,1124.43
JOB-0292,Poster,1808,170,12,432.0,78.88,0,12,1915.03
JOB-0293,Empaque,1091,200,1,216.0,52.51,0,17,1103.13
JOB-0294,Poster,2029,150,2,1728.0,69.15,1,16,2396.49
JOB-0295,Empaque,1357,150,8,187.0,75.23,1,16,1481.29
JOB-0296,Empaque,2497,300,16,432.0,84.92,0,16,2517.52
JOB-0297,Empaque,1614,170,12,432.0,34.56,1,14,1708.26
JOB-0298,Banner,776,200,1,432.0,38.65,0,9,1068.1
JOB-0299,Banner,1950,200,16,864.0,36.28,0,18,2112.61
JOB-0300,Lookbook,1049,250,8,187.0,37.09,1,14,1305.72
JOB-0301,Banner,1359,250,1,432.0,57.86,0,17,1503.19
JOB-0302,Poster,385,170,2,864.0,84.58,0,18,1136.3
JOB-0303,Lookbook,342,300,16,1728.0,84.37,1,10,1949.14
JOB-0304,Lookbook,1459,170,2,432.0,54.24,1,12,1466.02
JOB-0305,Empaque,507,300,1,432.0,61.54,0,10,1012.16
JOB-0306,Flyer,2495,200,16,1728.0,75.9,0,8,2869.06
JOB-0307,Flyer,2147,150,16,432.0,80.64,1,18,2158.3
JOB-0308,Lookbook,1767,250,16,1728.0,33.25,1,18,2520.81
JOB-0309,Flyer,1850,150,16,93.5,54.36,1,18,1838.38
JOB-0310,Poster,1508,250,12,216.0,74.13,1,17,1758.31
JOB-0311,Flyer,197,150,2,93.5,39.71,0,15,582.32
JOB-0312,Flyer,1011,170,1,93.5,48.59,1,13,1127.52
JOB-0313,Poster,1265,250,4,216.0,84.07,0,18,1460.41
JOB-0314,Flyer,2293,300,1,187.0,84.03,0,14,1971.46
JOB-0315,Flyer,587,200,2,216.0,78.9,1,15,1101.33
JOB-0316,Flyer,1267,150,8,216.0,71.9,0,10,1366.4
JOB-0317,Flyer,893,170,16,432.0,37.49,1,16,1388.81
JOB-0318,Banner,379,300,1,1728.0,40.86,0,17,1453.01
JOB-0319,Flyer,302,250,1,1728.0,55.57,1,15,1443.26
JOB-0320,Empaque,945,150,8,216.0,56.45,1,13,1150.88
JOB-0321,Empaque,252,170,1,187.0,52.86,0,10,663.09
JOB-0322,Lookbook,214,170,4,864.0,61.38,0,8,947.06
JOB-0323,Flyer,909,150,8,93.5,46.54,1,14,1239.29
JOB-0324,Lookbook,545,300,4,432.0,68.7,0,15,1108.54
JOB-0325,Empaque,1409,250,2,216.0,41.68,0,16,1308.77
JOB-0326,Lookbook,93,150,12,187.0,41.49,0,18,711.83
JOB-0327,Banner,789,250,1,432.0,28.27,1,13,1183.36
JOB-0328,Lookbook,1160,200,8,187.0,32.27,0,17,1236.69
JOB-0329,Lookbook,2410,150,2,187.0,75.28,1,15,1980.94
JOB-0330,Flyer,1605,200,1,432.0,49.01,0,11,1428.89
JOB-0331,Banner,2208,150,4,187.0,34.81,0,17,1660.3
JOB-0332,Poster,891,170,1,864.0,69.36,0,8,1277.95
JOB-0333,Banner,1152,300,16,93.5,56.01,1,14,1510.71
JOB-0334,Empaque,1080,250,4,216.0,21.38,0,18,1159.01
JOB-0335,Poster,2225,150,1,864.0,40.56,0,15,1851.67
JOB-0336,Lookbook,2401,300,2,187.0,31.51,1,18,1933.84
JOB-0337,Poster,2408,200,4,864.0,62.63,0,8,2202.47
JOB-0338,Banner,1893,300,1,864.0,37.88,0,13,1892.14
JOB-0339,Poster,1283,250,1,1728.0,24.22,0,16,1871.84
JOB-0340,Empaque,1375,170,2,187.0,23.57,0,15,1195.19
JOB-0341,Poster,2453,200,1,864.0,57.81,1,17,2288.18
JOB-0342,Empaque,747,200,12,1728.0,21.41,1,13,1791.18
JOB-0343,Banner,899,250,1,864.0,75.17,1,15,1554.77
JOB-0344,Lookbook,2248,170,12,187.0,30.1,1,12,1930.07
JOB-0345,Banner,996,170,1,864.0,59.43,0,17,1364.56
JOB-0346,Banner,626,170,4,93.5,48.9,0,9,865.94
JOB-0347,Empaque,1423,170,1,432.0,48.79,0,10,1376.79
JOB-0348,Poster,847,150,2,216.0,24.67,1,9,934.66
JOB-0349,Lookbook,2233,150,12,432.0,72.18,0,15,2050.89
JOB-0350,Poster,2278,300,1,432.0,78.05,1,10,2114.96
JOB-0351,Lookbook,800,150,1,93.5,20.72,0,11,793.91
JOB-0352,Poster,1347,300,4,432.0,31.61,1,17,1544.73
JOB-0353,Lookbook,2461,150,1,1728.0,78.75,0,11,2528.28
JOB-0354,Lookbook,1869,250,1,216.0,55.72,1,9,1678.89
JOB-0355,Flyer,578,170,2,187.0,29.75,1,8,778.93
JOB-0356,Lookbook,1497,200,4,1728.0,33.18,1,10,2105.08
JOB-0357,Banner,1569,170,8,93.5,62.9,0,18,1483.61
JOB-0358,Banner,1651,200,8,216.0,67.11,0,14,1587.37
JOB-0359,Lookbook,111,200,12,432.0,58.96,1,18,1016.83
JOB-0360,Lookbook,783,200,1,216.0,81.95,0,10,1041.88
JOB-0361,Empaque,2144,170,1,1728.0,52.11,1,11,2331.13
JOB-0362,Poster,641,200,1,216.0,39.52,1,9,966.47
JOB-0363,Poster,784,300,1,1728.0,51.02,1,12,1765.96
JOB-0364,Poster,840,200,1,93.5,43.38,1,14,977.37
JOB-0365,Lookbook,484,170,4,864.0,34.59,1,16,1116.74
JOB-0366,Flyer,430,150,16,432.0,22.99,0,12,1040.1
JOB-0367,Banner,900,170,12,187.0,42.89,0,16,1162.04
JOB-0368,Banner,2192,150,8,187.0,66.24,0,14,1798.42
JOB-0369,Flyer,53,150,12,864.0,21.2,0,11,911.29
JOB-0370,Empaque,744,300,1,432.0,48.55,1,18,1195.38
JOB-0371,Banner,198,150,12,432.0,61.86,0,12,992.3
JOB-0372,Flyer,1426,200,16,93.5,59.68,0,9,1568.33
JOB-0373,Flyer,664,300,1,432.0,70.48,1,18,1145.86
JOB-0374,Flyer,1991,300,2,1728.0,72.68,1,18,2553.73
JOB-0375,Poster,1483,150,12,93.5,66.26,0,8,1572.1
JOB-0376,Poster,1971,150,2,216.0,26.68,1,17,1643.57
JOB-0377,Empaque,1606,170,12,216.0,50.88,0,18,1663.75
JOB-0378,Flyer,1124,200,16,1728.0,59.22,1,17,2114.11
JOB-0379,Flyer,2160,300,2,187.0,35.96,1,10,1907.33
JOB-0380,Banner,1217,170,1,216.0,22.77,1,14,1124.63
JOB-0381,Lookbook,2378,150,1,864.0,34.53,1,13,2088.34
JOB-0382,Empaque,2488,170,1,93.5,49.57,1,14,1832.17
JOB-0383,Banner,1493,300,2,864.0,46.91,1,14,1794.18
JOB-0384,Flyer,1703,150,4,864.0,31.48,1,15,1724.22
JOB-0385,Flyer,676,170,2,864.0,73.59,0,13,1274.65
JOB-0386,Empaque,2046,150,1,432.0,80.17,1,15,1890.4
JOB-0387,Banner,1696,150,1,864.0,33.09,1,13,1710.99
JOB-0388,Empaque,2262,300,8,864.0,80.42,1,8,2398.16
JOB-0389,Poster,704,150,1,1728.0,21.16,1,8,1465.57
JOB-0390,Empaque,1980,170,1,216.0,80.12,1,18,1721.86
JOB-0391,Lookbook,1202,300,16,216.0,81.88,0,18,1718.77
